university,faculty,round-program,แกนกลาง,นานาชาติ,อาชีวะ,กศน,GED,special requirements,min-tgat,percent-tgat,percent-alevel-math1,percent-alevel-math2,percent-alevel-eng,percent-alevel-phy,percent-alevel-chem,percent-alevel-bio,percent-alevel-thai,percent-alevel-soc,"percent-alevel-
lang",min-gpax,percent-gpax,number-of-students,reference
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,Portfolio ,y,n,n,n,n,,-,-,,,,,,,,,,"3.25
math : 3.0
sci : 3.0
soc : 3.0",,10,http://www.admissions.chula.ac.th/images/stories/4.arts-geog_r1_66.pdf
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาศิลปการละคร,Portfolio ,y,n,n,n,n,"- มีแฟ้มสะสมผลงานทางที่เกี่ยวข้องกับศิลปะการละคร 
- เกรดอังกฤษไม่ต่ำกว่า 3.25 (5 หรือ 6 เทอม) หรือ 
TOEFL (iBT) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP ไม่ต่ำกว่า 75 คะแนน",-,-,,,,,,,,,,3.5,,5,http://www.admissions.chula.ac.th/images/stories/5.arts-drama_r1_66.pdf
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาอักษรศาสตร์,Portfolio ,y,n,n,n,n,"- TOEFL (iBT) ไม่ต่ำกว่า 64 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 5.0 หรือ 
CU-TEP ไม่ต่ำกว่า 60 คะแนน หรือ 
DET ไม่ต่ำกว่า 90 คะแนน
- Portfolio ควรมี 
1. ผลคะแนนการสอบวัดระดับความรู้ความสามารถทางด้านภาษา ดังนี้ 
1.1 CU-TPT ระดับ 4 ขึ้นไป หรือ 
1.2. TOELF (iBT) 100 คะแนนขึ้นไป หรือ 
CU-TEP 90 คะแนนขึ้นไป หรือ 
IELTS 7.5 คะแนนขึ้นไป หรือ 
DET 120 คะแนนขึ้นไป 
1.3. ความสามารถทางภาษาญี่ปุ่น JLPT ไม่ต่ำกว่าระดับ N2 โดยผลสอบไม่ต่ำกว่า 90 คะแนน หรือ 
1.4. ความสามารถทางภาษาจีน HSK ไม่ต่ำกว่าระดับ 5 โดยผลสอบไม่ต่ำกว่า 225 คะแนน 
1.5.ความสามารถทางภาษาเยอรมัน Goethe-Zertifikat หรือ telc Deutsch ระดับ A2 
โดยได้คะแนนเฉลี่ยดี (gut) หรือระดับ B1 โดยได้คะแนนเฉลี่ยพอใช้ได้ (befriedigend) 
1.6. ความสามารถทางภาษาสเปน DELE หรือ SIELE ไม่ต่ำกว่าระดับ A2 
โดยมีผลคะแนนเฉลี่ยทุกทักษะไม่ต่ำกว่า 70 คะแนน 
1.7. มีความสามารถทางภาษาบาลี ไม่ต่ำกว่าเปรียญธรรมประโยค 1-2 หรือ
บาลีศึกษา 1-2 โดยได้รับเปรียบธรรมหรือบาลีศึกษา ประโยค 1-2 ถึง 4 
2. ได้รับรางวัลหรือเข้าร่วมการแข่งขันต่อไปนี้ 
2.1. รางวัลชนะเลิศหรือรองชนะเลิศอันดับ 1 หรือ 2 ในการแข่งขันความรู้ความสามารถด้านภาษาอังกฤษ 
ระดับนานาชาติ หรือเป็นการแข่งขันที่จัดโดยหน่วยงานต่างประเทศหรือเทียบเท่า เช่น British Council, 
UNESCO เป็นต้น 
2.2. รางวัลชนะเลิศ หรือรองชนะเลิศอันดับ 1 หรือ 2 ในการแข่งขันความรู้ความสามารถด้านภาษาอังกฤษ
 ระดับชาติ Speech Contest โดยมูลนิธิอิออน, การแข่งขันกล่าวสุนทรพจน์ภาษาอังกฤษในที่ชุมชนจัด
โดยกระทรวงศึกษาธิการ",-,-,,,,,,,,,,3.5,,55,http://www.admissions.chula.ac.th/images/stories/7.arts-art_r1-66.pdf
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาเทคโนโลยีภาษาและสารสนเทศ,Portfolio ,y,n,n,n,n,"- มีแฟ้มสะสมผลงานทางที่เกี่ยวข้องกับศิลปะการละคร 
- TOEFL (iBT) ไม่ต่ำกว่า 53 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 4.5 หรือ 
CU-TEP ไม่ต่ำกว่า 55 คะแนน หรือ 
DET ไม่ต่ำหว่า 80 คะแนน 
- ผ่านการแข่งสอวน.วิชาคณิตศาสตร์หรือคอมพิวเคอร์ หรือ 
เป็นตัวแทนหรือตัวสำรองจากการแข่งขันโอลิมปิกปรัชญา หรือ 
เป็นตัวแทนไปแข่งภาษาศาสตร์โอลิมปิกเอเชียแปซิฟิกหรือภาษาศาสตร์โอลิมปิกระหว่างประเทศ 
- มีแฟ้มสะสมผลงานทางวิชาการและบำเพ็ญประโยชน์",-,-,,,,,,,,,,3.25,,5,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาภูมิศาสตร์และภูมิสารสนเทศ,Admission,y,y,y,y,y,love u taetae (ไม่ต้องลบอันนี้นะ เก็บไว้งี้แหละ ให้จารย์รู้ไป) เคๆ,,,,25,25,,,,25,25,,2.75,,10,http://www.admissions.chula.ac.th/images/stories/chula_config_r3_TCAS66_e4nov65.pdf
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ สาขาวิชาสารสนเทศศึกษา,Admission,y,y,y,y,y,,,,,25,25,,,,25,25,,2.75,,10,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาคณิตศาสตร์ประยุกต์ 2,Admission,y,y,y,y,y,,,,,25,25,,,,25,25,,2.75,,20,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,รวมกัน 192,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาจีน,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาบาลี,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาสเปน,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1270 คะแนน ",-,-,,,,,,,,,,-,-,180,
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Quota,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1270 คะแนน ",-,-,,,,,,,,,,-,-,10,http://www.admissions.chula.ac.th/inter-program.html
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA-NextGen),Portfolio,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1230 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1300 คะแนน 
-คลิปวิดีโอประวัติผู้สมัคร (Video Resume) และแฟ้มสะสมผลงาน (Portfolio) 
ที่แสดงถึงความสามารถด้านวิชาการในระดับชาติ หรือ นานาชาติทางด้านวิทยาศาสตร์ 
คณิตศาสตร์ ธุรกิจ หรือ การสื่อสาร",-,-,,,,,,,,,,-,-,10,http://www.admissions.chula.ac.th/inter-program.html
มหาลัยธรรมศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 80 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.0 (at least 5.5 in each individual section) หรือ 
TU-GET Paper-based ไม่ต่ำกว่า 550 คะแนน หรือ 
TU-GET Computer-based ไม่ต่ำกว่า 80 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ GSAT Math ไม่ต่ำกว่า 
600 คะแนน และ Evidence-Based Reading and Writing ไม่ต่ำกว่า 460 คะแนน และ
ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ SAT Math ไม่ต่ำกว่า 600 คะแนน และ
 Evidence-Based Reading and Writing ไม่ต่ำกว่า 460 คะแนน และ
ได้คะแนนรวมไม่ต่ำกว่า 1200",-,-,,,,,,,,,,-,-,160,https://www.bba.tbs.tu.ac.th/admissions.php
มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL ITP ไม่ต่ำกว่า 543 คะแนน หรือ 
TOEFL IBT ไม่ต่ำกว่า 72 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 5.5 หรือ OOPT ไม่ต่ำกว่า 61 คะแนน หรือ 
KU-EPT ไม่ต่ำกว่า 51 คะแนน หรือ 
SAT Evidence-Based Reading and Writing ไม่ต่ำกว่า 530 คะแนน หรือ 
CEFR ไม่ต่ำกว่า B2 หรือ 
มีการเรียนในระดับชั้นมัธยม 4-6 อย่างน้อย 1 ระดับชั้นปีในต่างประเทศ",,,,,,,,,,,,,,80,
มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Quota,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL ITP ไม่ต่ำกว่า 543 คะแนน หรือ 
TOEFL IBT ไม่ต่ำกว่า 72 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 5.5 หรือ OOPT ไม่ต่ำกว่า 61 คะแนน หรือ 
KU-EPT ไม่ต่ำกว่า 51 คะแนน หรือ 
SAT Evidence-Based Reading and Writing ไม่ต่ำกว่า 530 คะแนน หรือ 
CEFR ไม่ต่ำกว่า B2 หรือ 
มีการเรียนในระดับชั้นมัธยม 4-6 อย่างน้อย 1 ระดับชั้นปีในต่างประเทศ",-,-,,,,,,,,,,-,-,20,https://admission.ku.ac.th
,,,,,,,,,,,,,,,,,,,,,-,,